Title,Area,Room,Floor,Year,Price
2 kambarių butas Klaipėdoje,54.00,2,5/5,1995,47 400 € (878 €/m²)
2 kambarių butas Radviliškio rajono sav.,48.00,2,1/3,1973,12 900 € (269 €/m²)
4 kambarių butas Vilniuje,106.01,4,1/4,2020,342 400 € (3 230 €/m²)
1 kambario butas Klaipėda,18.00,1,4/5,,18 500 € (1 028 €/m²)
1 kambario butas Klaipėda,17.00,1,2/5,,6 500 € (382 €/m²)
5 kambarių butas Vilniuje,142.00,5,1/3,2000,119 000 € (838 €/m²)
2 kambarių butas Vilniuje,68.00,2,1/5,2020,109 900 € (1 616 €/m²)
2 kambarių butas Klaipėda,55.00,2,9/9,,50 000 € (909 €/m²)
2 kambarių butas Klaipėda,63.00,2,1/5,,56 000 € (889 €/m²)
2 kambarių butas Klaipėda,55.00,2,8/10,,56 000 € (1 018 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,5/5,1989,63 000 € (984 €/m²)
2 kambarių butas Palangoje,58.00,2,7/11,2009,180 000 € (3 103 €/m²)
2 kambarių butas Klaipėda,39.00,2,5/5,,59 500 € (1 526 €/m²)
2 kambarių butas Klaipėda,48.00,2,7/9,,64 000 € (1 333 €/m²)
3 kambarių butas Šiauliuose,66.97,3,4/5,1988,79 000 € (1 180 €/m²)
2 kambarių butas Panevėžio rajono sav.,53.00,2,2/2,1978,20 000 € (377 €/m²)
1 kambario butas Klaipėdoje,33.00,1,3/5,1977,39 500 € (1 197 €/m²)
2 kambarių butas Klaipėda,36.00,2,4/5,,30 000 € (833 €/m²)
2 kambarių butas Vilniuje,38.00,2,3/5,1981,37 500 € (987 €/m²)
3 kambarių butas Klaipėdoje,102.00,3,2/3,1936,152 000 € (1 490 €/m²)
3 kambarių butas Klaipėdoje,95.00,3,20/34,2010,119 999 € (1 263 €/m²)
4 kambarių butas Klaipėdoje,90.00,4,5/5,1971,130 000 € (1 444 €/m²)
4 kambarių butas Klaipėdoje,88.00,4,9/9,1978,76 000 € (864 €/m²)
3 kambarių butas Klaipėdoje,86.00,3,2/4,1970,175 400 € (2 040 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,1/9,,63 000 € (900 €/m²)
3 kambarių butas Klaipėdoje,60.00,3,4/5,,56 000 € (933 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,4/9,1990,57 000 € (1 036 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,6/9,1975,65 000 € (1 016 €/m²)
2 kambarių butas Klaipėdoje,53.00,2,3/5,,74 000 € (1 396 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,3/5,1988,52 000 € (1 000 €/m²)
3 kambarių butas Druskininkų sav.,62.79,3,3/5,2018,179 500 € (2 859 €/m²)
2 kambarių butas Vilniuje,52.37,2,6/7,2020,87 500 € (1 671 €/m²)
2 kambarių butas Vilniuje,46.00,2,3/7,2020,83 000 € (1 804 €/m²)
4 kambarių butas Vilniuje,81.22,4,5/7,2020,125 000 € (1 539 €/m²)
1 kambario butas Vilniuje,41.87,1,6/7,2020,69 900 € (1 669 €/m²)
3 kambarių butas Klaipėdoje,95.00,3,20/34,2010,155 000 € (1 632 €/m²)
3 kambarių butas Kaune,61.00,3,1/5,1976,62 000 € (1 016 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,1975,50 000 € (1 064 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,5/5,1992,63 000 € (984 €/m²)
4 kambarių butas Klaipėdoje,76.00,4,2/5,1978,71 500 € (941 €/m²)
3 kambarių butas Klaipėdoje,63.00,3,3/9,1979,53 000 € (841 €/m²)
4 kambarių butas Klaipėda,89.00,4,4/5,1993,90 000 € (1 011 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,1/9,1974,63 000 € (900 €/m²)
4 kambarių butas Klaipėdoje,92.00,4,2/9,1992,77 000 € (837 €/m²)
3 kambarių butas Klaipėda,74.00,3,2/2,2020,82 300 € (1 112 €/m²)
4 kambarių butas Klaipėdoje,113.00,4,2/3,1937,130 000 € (1 150 €/m²)
3 kambarių butas Klaipėdoje,94.00,3,8/9,2011,139 999 € (1 489 €/m²)
3 kambarių butas Klaipėdoje,55.00,3,1/4,1975,67 300 € (1 224 €/m²)
3 kambarių butas Klaipėdoje,60.00,3,2/5,1975,68 000 € (1 133 €/m²)
3 kambarių butas Klaipėdoje,77.00,3,4/5,1982,76 000 € (987 €/m²)
3 kambarių butas Klaipėdoje,61.00,3,5/5,1983,85 000 € (1 393 €/m²)
3 kambarių butas Klaipėdoje,61.00,3,5/5,1976,65 000 € (1 066 €/m²)
4 kambarių butas Klaipėdoje,77.00,4,5/5,1975,59 900 € (778 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,3/5,2018,94 000 € (1 343 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,4/9,1985,66 000 € (1 031 €/m²)
3 kambarių butas Klaipėda,78.00,3,5/5,1989,72 000 € (923 €/m²)
3 kambarių butas Klaipėda,70.00,3,1/5,1995,79 000 € (1 129 €/m²)
3 kambarių butas Klaipėdoje,66.00,3,1/3,2018,104 000 € (1 576 €/m²)
3 kambarių butas Klaipėdoje,95.00,3,2/9,2013,160 000 € (1 684 €/m²)
3 kambarių butas Klaipėdoje,77.00,3,4/5,1984,67 800 € (881 €/m²)
3 kambarių butas Klaipėdoje,85.00,3,1/2,2019,180 000 € (2 118 €/m²)
3 kambarių butas Klaipėdoje,60.00,3,2/3,1980,62 500 € (1 042 €/m²)
3 kambarių butas Klaipėdoje,58.00,3,2/4,2019,89 400 € (1 541 €/m²)
4 kambarių butas Klaipėda,140.00,4,2/4,1908,198 000 € (1 414 €/m²)
4 kambarių butas Klaipėdoje,78.00,4,4/5,1980,74 500 € (955 €/m²)
3 kambarių butas Klaipėdoje,80.00,3,2/2,2005,115 000 € (1 438 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,4/4,2007,99 000 € (1 547 €/m²)
3 kambarių butas Klaipėda,82.00,3,15/34,2010,135 000 € (1 646 €/m²)
3 kambarių butas Klaipėdoje,72.00,3,4/20,2010,105 000 € (1 458 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,6/9,1975,65 000 € (1 016 €/m²)
1 kambario butas Klaipėdoje,33.00,1,5/5,,37 500 € (1 136 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,3/5,1991,53 000 € (964 €/m²)
3 kambarių butas Palangoje,92.00,3,4/4,2004,110 000 € (1 196 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,4/4,1961,41 900 € (952 €/m²)
4 kambarių butas Vilniuje,120.66,4,1/3,1940,361 980 € (3 000 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,1981,48 000 € (1 021 €/m²)
3 kambarių butas Palangoje,67.00,3,2/4,1997,63 000 € (940 €/m²)
3 kambarių butas Palangoje,78.00,3,5/5,1993,50 000 € (641 €/m²)
2 kambarių butas Palangoje,47.00,2,2/5,2018,115 000 € (2 447 €/m²)
3 kambarių butas Klaipėda,78.00,3,4/5,,60 900 € (781 €/m²)
1 kambario butas Klaipėda,37.00,1,2/4,,39 900 € (1 078 €/m²)
1 kambario butas Klaipėdoje,40.00,1,1/4,2007,71 000 € (1 775 €/m²)
3 kambarių butas Klaipėdoje,77.00,3,4/5,1988,73 000 € (948 €/m²)
2 kambarių butas Palangoje,47.00,2,4/4,1965,72 000 € (1 532 €/m²)
1 kambario butas Klaipėdoje,18.00,1,4/5,1965,13 000 € (722 €/m²)
1 kambario butas Palangoje,42.00,1,3/4,1986,51 000 € (1 214 €/m²)
3 kambarių butas Klaipėdoje,79.00,3,6/9,2008,120 000 € (1 519 €/m²)
2 kambarių butas Klaipėda,53.00,2,3/5,1977,74 000 € (1 396 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,5/5,1969,65 000 € (1 300 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,4/9,1989,53 000 € (964 €/m²)
2 kambarių butas Palangoje,51.00,2,2/4,1980,83 000 € (1 627 €/m²)
1 kambario butas Klaipėdoje,18.00,1,4/5,1966,14 500 € (806 €/m²)
4 kambarių butas Klaipėdoje,100.00,4,3/9,1993,99 000 € (990 €/m²)
3 kambarių butas Klaipėda,77.00,3,4/5,1994,87 000 € (1 130 €/m²)
4 kambarių butas Klaipėda,88.00,4,5/5,1991,65 000 € (739 €/m²)
3 kambarių butas Kretingos rajono sav.,67.00,3,4/5,1992,47 500 € (709 €/m²)
2 kambarių butas Kretingos rajono sav.,49.00,2,2/3,2018,49 000 € (1 000 €/m²)
3 kambarių butas Palangoje,67.00,3,2/4,1994,63 000 € (940 €/m²)
3 kambarių butas Klaipėdoje,69.00,3,8/9,1978,74 900 € (1 086 €/m²)
1 kambario butas Klaipėdoje,36.00,1,4/5,1990,39 500 € (1 097 €/m²)
3 kambarių butas Palangoje,78.00,3,4/4,1974,152 000 € (1 949 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,3/5,1984,54 900 € (998 €/m²)
3 kambarių butas Kretingos rajono sav.,54.00,3,1/4,2020,72 500 € (1 343 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,5/5,1982,40 300 € (775 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,3/3,1932,75 000 € (1 667 €/m²)
1 kambario butas Klaipėdoje,27.00,1,5/5,1950,29 000 € (1 074 €/m²)
2 kambarių butas Klaipėda,56.00,2,9/9,1991,59 600 € (1 064 €/m²)
1 kambario butas Klaipėdoje,18.00,1,5/5,1967,8 700 € (483 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,5/5,1970,55 000 € (1 222 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,3/3,1960,70 000 € (1 842 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,3/9,1977,47 000 € (940 €/m²)
3 kambarių butas Klaipėdoje,69.00,3,2/9,1981,71 000 € (1 029 €/m²)
3 kambarių butas Klaipėdoje,72.00,3,2/16,1995,69 000 € (958 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,3/4,2019,103 200 € (2 150 €/m²)
3 kambarių butas Palangoje,52.00,3,2/2,2016,156 000 € (3 000 €/m²)
2 kambarių butas Klaipėdoje,51.00,2,5/5,1966,72 500 € (1 422 €/m²)
2 kambarių butas Palangoje,51.00,2,4/4,2007,109 500 € (2 147 €/m²)
3 kambarių butas Palangoje,56.00,3,3/3,2000,86 800 € (1 550 €/m²)
2 kambarių butas Klaipėda,46.00,2,3/4,1930,96 500 € (2 098 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,1/5,1973,48 800 € (1 162 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,1988,59 999 € (1 277 €/m²)
1 kambario butas Klaipėdoje,56.00,1,1/5,1976,48 000 € (857 €/m²)
2 kambarių butas Kretingos rajono sav.,47.00,2,1/5,1980,45 000 € (957 €/m²)
2 kambarių butas Klaipėda,43.00,2,2/2,1960,82 000 € (1 907 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,5/5,1976,54 000 € (1 000 €/m²)
2 kambarių butas Palangoje,72.00,2,1/4,2012,115 000 € (1 597 €/m²)
3 kambarių butas Palangoje,55.00,3,1/3,2017,159 000 € (2 891 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/7,2009,88 000 € (1 833 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,8/9,1986,55 000 € (705 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,3/5,1970,57 000 € (1 500 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,5/5,2006,59 500 € (1 102 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,4/4,1963,52 000 € (1 238 €/m²)
2 kambarių butas Klaipėdoje,49.00,2,2/9,1977,51 500 € (1 051 €/m²)
2 kambarių butas Klaipėda,82.00,2,1/5,2000,99 000 € (1 207 €/m²)
2 kambarių butas Klaipėdoje,57.00,2,1/4,2005,76 000 € (1 333 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,2/4,2019,65 000 € (1 444 €/m²)
3 kambarių butas Kretingos rajono sav.,69.00,3,4/9,1982,59 000 € (855 €/m²)
2 kambarių butas Palangoje,60.00,2,1/3,2017,185 000 € (3 083 €/m²)
1 kambario butas Kretingos rajono sav.,36.00,1,1/1,1978,23 000 € (639 €/m²)
2 kambarių butas Klaipėdoje,62.00,2,5/5,1987,65 000 € (1 048 €/m²)
2 kambarių butas Palangoje,65.00,2,2/4,2007,158 888 € (2 444 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,1978,57 000 € (1 188 €/m²)
1 kambario butas Klaipėdoje,25.00,1,1/5,1980,27 800 € (1 112 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,9/9,1988,49 900 € (907 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,5/5,1962,51 000 € (1 342 €/m²)
2 kambarių butas Kretingos rajono sav.,34.00,2,1/2,1901,25 000 € (735 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,1/5,1980,63 000 € (1 340 €/m²)
2 kambarių butas Klaipėdoje,57.00,2,1/4,2008,89 000 € (1 561 €/m²)
2 kambarių butas Klaipėdoje,56.00,2,5/5,1971,36 500 € (652 €/m²)
2 kambarių butas Kretingos rajono sav.,30.00,2,2/2,1990,9 500 € (317 €/m²)
3 kambarių butas Palangoje,75.00,3,1/3,2010,149 000 € (1 987 €/m²)
2 kambarių butas Klaipėda,58.00,2,3/15,2005,63 000 € (1 086 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,2/5,1971,36 000 € (720 €/m²)
2 kambarių butas Klaipėda,52.00,2,1/4,1987,99 000 € (1 904 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,1975,39 500 € (840 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,2/5,1966,59 900 € (1 302 €/m²)
3 kambarių butas Kretingos rajono sav.,51.00,3,1/2,1988,52 000 € (1 020 €/m²)
2 kambarių butas Klaipėdoje,40.00,2,4/4,2019,59 000 € (1 475 €/m²)
1 kambario butas Kretingos rajono sav.,38.00,1,2/2,1981,29 000 € (763 €/m²)
1 kambario butas Klaipėdoje,40.00,1,2/9,2011,84 000 € (2 100 €/m²)
3 kambarių butas Klaipėdoje,83.00,3,14/21,2006,191 000 € (2 301 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,4/5,1966,49 500 € (1 303 €/m²)
4 kambarių butas Kretingos rajono sav.,71.00,4,1/5,1972,79 000 € (1 113 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,5/5,1970,47 000 € (1 022 €/m²)
2 kambarių butas Palangoje,60.00,2,1/4,2003,168 000 € (2 800 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,4/5,,68 000 € (1 259 €/m²)
4 kambarių butas Vilniuje,84.00,4,2/3,2020,92 000 € (1 095 €/m²)
3 kambarių butas Kaune,58.00,3,1,1972,28 700 € (495 €/m²)
3 kambarių butas Klaipėda,78.00,3,1/9,,58 000 € (744 €/m²)
2 kambarių butas Klaipėda,37.00,2,1/2,,42 000 € (1 135 €/m²)
2 kambarių butas Klaipėda,49.00,2,5/5,,55 000 € (1 122 €/m²)
4 kambarių butas Vilniuje,199.98,4,3/4,1999,399 950 € (2 000 €/m²)
2 kambarių butas Šiauliuose,49.76,2,4/5,1974,42 000 € (844 €/m²)
2 kambarių butas Klaipėdoje,67.00,2,1/5,1999,75 000 € (1 119 €/m²)
1 kambario butas Klaipėdoje,18.00,1,5/5,,8 700 € (483 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,1/5,,48 999 € (1 021 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,6/9,,74 900 € (1 498 €/m²)
4 kambarių butas Palangoje,78.00,4,4/4,1994,70 000 € (897 €/m²)
1 kambario butas Klaipėdoje,37.00,1,1/5,,40 500 € (1 095 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,8/9,1978,65 000 € (1 016 €/m²)
1 kambario butas Palangoje,17.00,1,1,2007,54 000 € (3 176 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,2/5,1990,65 000 € (833 €/m²)
2 kambarių butas Radviliškio rajono sav.,49.52,2,1/2,1986,7 950 € (161 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,1/5,1967,66 000 € (1 500 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,3/3,2016,119 000 € (1 859 €/m²)
3 kambarių butas Vilniuje,64.02,3,1/3,2009,165 000 € (2 577 €/m²)
4 kambarių butas Utenos rajono sav.,77.67,4,1/5,1976,102 000 € (1 313 €/m²)
3 kambarių butas Palangoje,88.00,3,4/4,2004,130 000 € (1 477 €/m²)
3 kambarių butas Klaipėdoje,79.00,3,1/9,2008,118 000 € (1 494 €/m²)
1 kambario butas Klaipėdoje,30.00,1,5/5,1974,39 000 € (1 300 €/m²)
3 kambarių butas Klaipėda,74.00,3,4/5,,85 000 € (1 149 €/m²)
3 kambarių butas Klaipėda,78.00,3,3/5,,72 000 € (923 €/m²)
1 kambario butas Klaipėda,18.00,1,5/5,,6 900 € (383 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,1/5,1985,76 500 € (1 142 €/m²)
4 kambarių butas Vilniuje,200.28,4,3/4,1999,399 950 € (1 997 €/m²)
4 kambarių butas Klaipėdoje,112.30,4,3/4,1936,117 000 € (1 042 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,,48 000 € (1 021 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,5/5,,55 000 € (1 310 €/m²)
1 kambario butas Utenos rajono sav.,40.56,1,5/5,,29 500 € (727 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,1/5,,57 000 € (1 357 €/m²)
4 kambarių butas Klaipėdoje,78.00,4,3/5,,74 000 € (949 €/m²)
4 kambarių butas Klaipėdoje,82.00,4,2/9,,89 000 € (1 085 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,5/5,,83 000 € (1 844 €/m²)
3 kambarių butas Klaipėda,78.00,3,6/9,,65 000 € (833 €/m²)
3 kambarių butas Klaipėda,65.00,3,1/9,,65 000 € (1 000 €/m²)
2 kambarių butas Klaipėda,49.00,2,1/5,,48 000 € (980 €/m²)
4 kambarių butas Klaipėda,96.00,4,4/6,,130 000 € (1 354 €/m²)
2 kambarių butas Kretingos rajono sav.,47.00,2,1/5,,40 000 € (851 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,4/5,1991,72 000 € (1 075 €/m²)
1 kambario butas Klaipėdoje,33.00,1,3/5,1977,39 500 € (1 197 €/m²)
3 kambarių butas Klaipėdoje,62.00,3,4/5,1971,52 000 € (839 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,3/4,1980,99 000 € (2 152 €/m²)
2 kambarių butas Klaipėdoje,58.00,2,2/5,2006,91 500 € (1 578 €/m²)
4 kambarių butas Kretingos rajono sav.,71.00,4,2/5,1974,47 000 € (662 €/m²)
2 kambarių butas Klaipėdoje,35.00,2,4/5,,43 800 € (1 251 €/m²)
3 kambarių butas Klaipėdoje,72.00,3,2/5,,62 000 € (861 €/m²)
3 kambarių butas Klaipėdoje,60.00,3,5/5,,55 000 € (917 €/m²)
1 kambario butas Klaipėdoje,33.00,1,3/5,,39 500 € (1 197 €/m²)
3 kambarių butas Šiauliuose,77.00,3,3/3,1947,105 000 € (1 364 €/m²)
2 kambarių butas Klaipėdoje,36.00,2,4/5,,26 500 € (736 €/m²)
1 kambario butas Klaipėdoje,25.00,1,5/5,,20 500 € (820 €/m²)
2 kambarių butas Klaipėda,22.00,2,5/5,,15 800 € (718 €/m²)
2 kambarių butas Kretingos rajono sav.,55.00,2,2/2,,26 000 € (473 €/m²)
3 kambarių butas Klaipėda,62.00,3,4/5,,72 800 € (1 174 €/m²)
2 kambarių butas Klaipėda,46.00,2,5/5,,44 000 € (957 €/m²)
1 kambario butas Klaipėdoje,43.00,1,5/10,1991,49 000 € (1 140 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,2/5,1982,50 000 € (926 €/m²)
1 kambario butas Klaipėdoje,33.00,1,5/5,1980,40 000 € (1 212 €/m²)
3 kambarių butas Klaipėdoje,62.00,3,3/5,1988,65 000 € (1 048 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,5/5,2019,82 000 € (1 864 €/m²)
2 kambarių butas Klaipėdoje,66.00,2,3/5,1992,68 000 € (1 030 €/m²)
3 kambarių butas Palangoje,60.00,3,1/4,,77 000 € (1 283 €/m²)
3 kambarių butas Kretingos rajono sav.,167.00,3,3/3,1915,125 000 € (749 €/m²)
2 kambarių butas Kretingos rajono sav.,44.00,2,5/5,1975,30 000 € (682 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,2/3,1985,112 500 € (2 163 €/m²)
2 kambarių butas Klaipėdoje,40.00,2,2/2,1931,35 500 € (888 €/m²)
2 kambarių butas Klaipėdoje,35.00,2,2/5,1980,43 000 € (1 229 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,5/5,1964,48 000 € (1 263 €/m²)
2 kambarių butas Klaipėdoje,35.00,2,4/5,1968,43 800 € (1 251 €/m²)
2 kambarių butas Klaipėdoje,70.00,2,2/5,2008,110 000 € (1 571 €/m²)
2 kambarių butas Klaipėdoje,71.00,2,3/3,2012,70 000 € (986 €/m²)
1 kambario butas Palangoje,49.00,1,2/2,2010,85 000 € (1 735 €/m²)
2 kambarių butas Kretingos rajono sav.,48.00,2,2/5,1997,48 500 € (1 010 €/m²)
2 kambarių butas Klaipėdoje,74.00,2,12/20,2007,173 000 € (2 338 €/m²)
1 kambario butas Klaipėdoje,17.00,1,4/4,1969,10 500 € (618 €/m²)
2 kambarių butas Klaipėdoje,57.00,2,7/9,1982,45 000 € (789 €/m²)
3 kambarių butas Kretingos rajono sav.,69.00,3,5/5,1993,51 000 € (739 €/m²)
5 kambarių butas Kretingos rajono sav.,100.00,5,2/2,1988,19 000 € (190 €/m²)
2 kambarių butas Palangoje,79.00,2,4/4,2013,180 000 € (2 278 €/m²)
3 kambarių butas Kretingos rajono sav.,78.00,3,5/5,1988,56 000 € (718 €/m²)
2 kambarių butas Klaipėdoje,51.00,2,5/5,1995,65 000 € (1 275 €/m²)
1 kambario butas Klaipėda,44.00,1,11/15,2002,73 000 € (1 659 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,2/2,1933,37 000 € (841 €/m²)
2 kambarių butas Klaipėda,54.00,2,1/5,2019,108 000 € (2 000 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,1/5,1962,54 000 € (1 227 €/m²)
2 kambarių butas Klaipėdoje,39.00,2,5/5,1964,65 000 € (1 667 €/m²)
1 kambario butas Klaipėda,12.00,1,4/5,,11 500 € (958 €/m²)
3 kambarių butas Kretingos rajono sav.,65.00,3,4/5,1978,51 000 € (785 €/m²)
3 kambarių butas Palangoje,62.00,3,1/4,1980,59 999 € (968 €/m²)
3 kambarių butas Kretingos rajono sav.,79.00,3,5/5,1996,62 000 € (785 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,5/5,1969,55 000 € (1 058 €/m²)
1 kambario butas Klaipėdoje,35.00,1,2/5,1990,35 500 € (1 014 €/m²)
1 kambario butas Klaipėdoje,12.00,1,5/5,1975,9 800 € (817 €/m²)
1 kambario butas Klaipėdoje,34.00,1,4/5,1992,48 000 € (1 412 €/m²)
1 kambario butas Klaipėda,18.00,1,2/5,1964,10 000 € (556 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,3/5,1985,67 999 € (1 236 €/m²)
4 kambarių butas Vilniuje,114.00,4,3/3,2018,320 000 € (2 807 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,5/5,1990,45 000 € (833 €/m²)
2 kambarių butas Klaipėdos rajono sav.,46.00,2,1/2,,25 000 € (543 €/m²)
3 kambarių butas Klaipėdoje,65.00,3,3/5,1994,61 000 € (938 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,4/5,1979,47 900 € (871 €/m²)
4 kambarių butas Druskininkų sav.,74.26,4,4/5,1971,68 000 € (916 €/m²)
4 kambarių butas Kaune,82.00,4,9/9,1987,72 000 € (878 €/m²)
3 kambarių butas Klaipėdoje,61.00,3,3/5,1979,68 000 € (1 115 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,3/5,1973,39 000 € (867 €/m²)
2 kambarių butas Šilutės rajono sav.,70.00,2,5/5,1989,27 999 € (400 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,1/5,1967,73 500 € (1 097 €/m²)
5 kambarių butas Klaipėdoje,177.00,5,1/4,1957,125 000 € (706 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,5/5,1995,52 000 € (963 €/m²)
2 kambarių butas Klaipėdoje,41.60,2,2/3,1953,59 000 € (1 418 €/m²)
4 kambarių butas Klaipėdoje,70.70,4,2/5,1967,68 000 € (962 €/m²)
3 kambarių butas Rokiškio rajono sav.,54.00,3,4/4,1973,10 000 € (185 €/m²)
3 kambarių butas Akmenės rajono sav.,60.95,3,4/5,1971,26 000 € (427 €/m²)
1 kambario butas Klaipėda,29.00,1,4/5,,38 500 € (1 328 €/m²)
2 kambarių butas Klaipėda,46.00,2,1/4,,71 500 € (1 554 €/m²)
2 kambarių butas Palangoje,58.00,2,7/11,2010,180 000 € (3 103 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,5/5,1987,72 000 € (923 €/m²)
2 kambarių butas Šiauliuose,50.23,2,5/5,1970,44 900 € (894 €/m²)
4 kambarių butas Vilniuje,123.14,4,3/4,2021,480 246 € (3 900 €/m²)
4 kambarių butas Vilniuje,182.00,4,2/4,2020,821 025 € (4 511 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,3/4,1985,115 000 € (2 212 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,4/5,1992,47 000 € (904 €/m²)
3 kambarių butas Klaipėdoje,62.00,3,3/5,1979,66 000 € (1 065 €/m²)
4 kambarių butas Druskininkų sav.,90.24,4,2/3,1992,89 000 € (986 €/m²)
3 kambarių butas Klaipėdoje,61.00,3,4/5,,56 000 € (918 €/m²)
4 kambarių butas Klaipėdoje,78.00,4,4/5,,50 700 € (650 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,4/5,1992,48 000 € (923 €/m²)
2 kambarių butas Šiauliuose,44.32,2,5/5,1971,37 500 € (846 €/m²)
3 kambarių butas Klaipėdoje,55.00,3,5/5,1971,49 000 € (891 €/m²)
2 kambarių butas Klaipėdos rajono sav.,50.00,2,1/2,1960,30 000 € (600 €/m²)
2 kambarių butas Klaipėdoje,40.00,2,1/5,1960,61 500 € (1 538 €/m²)
4 kambarių butas Vilniuje,94.00,4,1/2,2019,125 000 € (1 330 €/m²)
4 kambarių butas Vilniuje,94.00,4,1/2,2019,149 000 € (1 585 €/m²)
4 kambarių butas Vilniuje,94.00,4,1/2,2019,118 000 € (1 255 €/m²)
3 kambarių butas Klaipėdoje,59.00,3,5/5,,65 000 € (1 102 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,2/5,,62 000 € (969 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,5/5,1970,55 000 € (1 222 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,1/9,,62 700 € (980 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,5/5,2006,59 500 € (1 082 €/m²)
3 kambarių butas Klaipėdoje,84.00,3,4/9,2007,107 000 € (1 274 €/m²)
3 kambarių butas Klaipėdoje,116.00,3,3/3,1933,133 000 € (1 147 €/m²)
2 kambarių butas Šilutės rajono sav.,55.00,2,4/5,1989,35 000 € (636 €/m²)
2 kambarių butas Klaipėda,52.00,2,4/5,1992,45 500 € (875 €/m²)
3 kambarių butas Klaipėdoje,100.00,3,2/3,1956,109 000 € (1 090 €/m²)
3 kambarių butas Klaipėda,61.00,3,9/9,,56 900 € (933 €/m²)
