Title,Area,Room,Floor,Year,Price
1 kambario butas Klaipėdoje,36.35,1,2/4,2019,89 999 € (2 476 €/m²)
1 kambario butas Klaipėdoje,44.00,1,3/9,1990,49 000 € (1 114 €/m²)
3 kambarių butas Vilniaus rajono sav.,62.00,3,1/2,1965,88 000 € (1 419 €/m²)
2 kambarių butas Klaipėdoje,49.50,2,1/4,2020,95 000 € (1 919 €/m²)
1 kambario butas Klaipėdoje,36.90,1,9/13,1975,70 000 € (1 897 €/m²)
2 kambarių butas Klaipėdoje,90.00,2,2/2,2017,107 000 € (1 189 €/m²)
2 kambarių butas Vilniuje,55.20,2,3/5,1972,76 000 € (1 377 €/m²)
2 kambarių butas Šiauliuose,28.57,2,3/4,,14 999 € (525 €/m²)
2 kambarių butas Klaipėdoje,54.53,2,1/9,1988,66 500 € (1 220 €/m²)
3 kambarių butas Vilniuje,76.00,3,1/4,2014,185 000 € (2 434 €/m²)
2 kambarių butas Šiauliuose,34.00,2,2,1985,12 500 € (368 €/m²)
5 kambarių butas Elektrėnų sav.,102.00,5,3/3,2008,135 000 € (1 324 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,3/4,2011,114 000 € (1 462 €/m²)
1 kambario butas Vilniuje,33.00,1,3/5,1969,73 900 € (2 239 €/m²)
3 kambarių butas Vilniuje,69.66,3,1/9,2005,244 000 € (3 503 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,4/5,1977,69 000 € (1 078 €/m²)
2 kambarių butas Šventojoje,60.00,2,6/9,2020,174 000 € (2 900 €/m²)
2 kambarių butas Kaune,49.00,2,4/5,1985,59 600 € (1 216 €/m²)
3 kambarių butas Vilniuje,73.90,3,3/5,2002,139 000 € (1 881 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,7/12,1978,87 000 € (1 299 €/m²)
3 kambarių butas Panevėžyje,64.00,3,4/5,1991,72 000 € (1 125 €/m²)
4 kambarių butas Šiauliuose,99.82,4,1/5,1983,85 000 € (852 €/m²)
3 kambarių butas Vilniuje,54.72,3,2/3,1940,205 000 € (3 746 €/m²)
3 kambarių butas Klaipėdoje,65.16,3,7/9,1972,69 500 € (1 067 €/m²)
1 kambario butas Vilniaus rajono sav.,33.48,1,4/5,1975,42 000 € (1 254 €/m²)
1 kambario butas Klaipėdoje,22.04,1,4/5,1972,28 500 € (1 293 €/m²)
2 kambarių butas Švenčionių rajono sav.,52.00,2,1/5,1984,18 900 € (363 €/m²)
2 kambarių butas Tauragės rajono sav.,47.00,2,1/4,,9 500 € (202 €/m²)
3 kambarių butas Kaune,59.00,3,1/5,1979,75 000 € (1 271 €/m²)
3 kambarių butas Kaune,44.31,3,2/2,1933,33 500 € (756 €/m²)
3 kambarių butas Klaipėdoje,70.84,3,2/3,2012,142 900 € (2 017 €/m²)
3 kambarių butas Klaipėdos rajono sav.,59.92,3,7/7,2008,82 000 € (1 368 €/m²)
3 kambarių butas Klaipėdoje,90.00,3,7/9,2006,250 000 € (2 778 €/m²)
1 kambario butas Švenčionių rajono sav.,34.00,1,3/5,1977,14 000 € (412 €/m²)
3 kambarių butas Vilniuje,70.00,3,3/6,2009,268 000 € (3 829 €/m²)
2 kambarių butas Palangoje,50.00,2,3/4,1994,70 000 € (1 400 €/m²)
3 kambarių butas Palangoje,70.00,3,1/3,2006,147 000 € (2 100 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,7/9,1983,64 000 € (1 333 €/m²)
1 kambario butas Klaipėdoje,11.00,1,5/5,1968,13 000 € (1 182 €/m²)
4 kambarių butas Klaipėdoje,141.00,4,3/3,1995,125 000 € (887 €/m²)
3 kambarių butas Klaipėdoje,96.00,3,4/6,2005,135 000 € (1 406 €/m²)
3 kambarių butas Klaipėdoje,65.00,3,1/5,2009,109 000 € (1 677 €/m²)
2 kambarių butas Radviliškio rajono sav.,46.82,2,2/2,1970,6 900 € (147 €/m²)
3 kambarių butas Klaipėdoje,85.00,3,4/5,2013,128 000 € (1 506 €/m²)
3 kambarių butas Vilniuje,70.00,3,3/6,2009,268 000 € (3 829 €/m²)
4 kambarių butas Klaipėdoje,170.00,4,3/3,1928,159 000 € (935 €/m²)
3 kambarių butas Klaipėdoje,65.00,3,3/5,1994,65 000 € (1 000 €/m²)
1 kambario butas Klaipėdoje,54.00,1,9/13,2005,69 000 € (1 278 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,9/13,2005,69 000 € (1 278 €/m²)
2 kambarių butas Klaipėdoje,62.00,2,5/5,1987,60 000 € (968 €/m²)
2 kambarių butas Klaipėdoje,60.83,2,2/5,2007,80 000 € (1 315 €/m²)
3 kambarių butas Vilniuje,127.00,3,3/4,2007,740 000 € (5 827 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,1/5,2019,114 000 € (2 714 €/m²)
2 kambarių butas Kretingos rajono sav.,47.00,2,1/5,,40 000 € (851 €/m²)
4 kambarių butas Vilniuje,145.23,4,2/4,2021,522 828 € (3 600 €/m²)
4 kambarių butas Vilniuje,123.14,4,3/4,2021,480 246 € (3 900 €/m²)
4 kambarių butas Vilniuje,112.24,4,1/4,2021,370 392 € (3 300 €/m²)
4 kambarių butas Vilniuje,112.22,4,2/4,2021,403 992 € (3 600 €/m²)
4 kambarių butas Vilniuje,123.09,4,2/4,2021,436 970 € (3 550 €/m²)
2 kambarių butas Klaipėdoje,58.00,2,5/12,2011,113 000 € (1 948 €/m²)
2 kambarių butas Druskininkų sav.,93.00,2,1/3,1980,92 000 € (989 €/m²)
2 kambarių butas Vilniuje,56.00,2,1/5,1957,170 000 € (3 036 €/m²)
3 kambarių butas Šiauliuose,110.46,3,3/5,1995,99 500 € (901 €/m²)
2 kambarių butas Klaipėdoje,40.00,2,2/3,2016,99 900 € (2 498 €/m²)
3 kambarių butas Vilniuje,63.40,3,9/9,1975,89 000 € (1 404 €/m²)
3 kambarių butas Vilniuje,89.86,3,2/3,1990,165 000 € (1 836 €/m²)
1 kambario butas Klaipėdoje,43.00,1,9/9,1987,49 000 € (1 140 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,1/9,,47 500 € (1 080 €/m²)
5 kambarių butas Vilniuje,95.93,5,3/3,2021,279 000 € (2 908 €/m²)
3 kambarių butas Vilniuje,60.61,3,2/5,1968,68 000 € (1 122 €/m²)
2 kambarių butas Vilniuje,66.26,2,1/7,2003,114 000 € (1 720 €/m²)
2 kambarių butas Vilniuje,45.36,2,4/6,2013,103 000 € (2 271 €/m²)
2 kambarių butas Vilniuje,54.03,2,9/9,2021,95 000 € (1 758 €/m²)
3 kambarių butas Vilniuje,70.00,3,4/4,2017,219 000 € (3 129 €/m²)
5 kambarių butas Vilniuje,154.00,5,1/2,1995,162 000 € (1 052 €/m²)
5 kambarių butas Vilniuje,217.00,5,2/2,1995,162 000 € (747 €/m²)
1 kambario butas Vilniuje,21.25,1,6/9,1983,48 500 € (2 282 €/m²)
3 kambarių butas Panevėžys,64.06,3,3/5,1979,45 700 € (713 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,2/9,1990,59 000 € (1 073 €/m²)
1 kambario butas Panevėžyje,36.00,1,5/5,1990,28 500 € (792 €/m²)
1 kambario butas Klaipėdoje,30.00,1,2/5,,58 000 € (1 933 €/m²)
2 kambarių butas Palangoje,49.00,2,2/3,2017,178 000 € (3 633 €/m²)
2 kambarių butas Vilniuje,49.69,2,3/3,2021,159 800 € (3 216 €/m²)
3 kambarių butas Vilniuje,65.65,3,3/3,2021,197 000 € (3 001 €/m²)
4 kambarių butas Vilniuje,72.94,4,2/3,2021,241 000 € (3 304 €/m²)
2 kambarių butas Vilniuje,45.00,2,5/6,2010,489 € (11 €/m²)
2 kambarių butas Panevėžyje,40.00,2,1/3,,38 000 € (950 €/m²)
3 kambarių butas Vilniuje,65.00,3,3/9,2017,97 000 € (1 492 €/m²)
2 kambarių butas Utenos rajono sav.,54.50,2,1/2,,17 000 € (312 €/m²)
3 kambarių butas Šiauliuose,78.00,3,2/12,1978,79 000 € (1 013 €/m²)
3 kambarių butas Šiauliuose,70.00,3,2/2,1935,84 000 € (1 200 €/m²)
4 kambarių butas Šiauliuose,76.00,4,11/12,1982,81 900 € (1 078 €/m²)
3 kambarių butas Šiauliuose,59.24,3,5/5,1973,48 000 € (810 €/m²)
2 kambarių butas Vilniuje,67.00,2,6/9,2007,210 000 € (3 134 €/m²)
2 kambarių butas Utenos rajono sav.,54.06,2,2/2,1969,3 300 € (61 €/m²)
2 kambarių butas Vilniuje,38.00,2,2/4,2020,115 000 € (3 026 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,4/5,1970,53 000 € (1 128 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,8/9,1982,65 000 € (1 016 €/m²)
1 kambario butas Šiauliuose,36.31,1,5/5,1987,34 500 € (950 €/m²)
3 kambarių butas Druskininkų sav.,71.20,3,9/10,1988,55 000 € (772 €/m²)
3 kambarių butas Vilniuje,64.00,3,5,2020,259 000 € (4 047 €/m²)
2 kambarių butas Vilniuje,66.00,2,6/7,2007,129 000 € (1 955 €/m²)
3 kambarių butas Vilniuje,67.28,3,8/9,1987,89 000 € (1 323 €/m²)
2 kambarių butas Šiauliuose,38.80,2,2/2,1958,42 500 € (1 095 €/m²)
2 kambarių butas Šiauliuose,44.38,2,4/5,1964,41 000 € (924 €/m²)
2 kambarių butas Šiauliuose,33.63,2,3/3,1949,33 500 € (996 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,3/5,,66 000 € (1 375 €/m²)
3 kambarių butas Šiauliuose,64.00,3,11/12,1978,73 000 € (1 141 €/m²)
3 kambarių butas Klaipėdoje,76.00,3,5/5,1992,59 000 € (776 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,5/5,1997,71 900 € (922 €/m²)
2 kambarių butas Kaune,49.00,2,8/12,1988,59 500 € (1 214 €/m²)
1 kambario butas Klaipėdoje,34.00,1,2/5,,35 500 € (1 044 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,3/9,1976,71 000 € (1 109 €/m²)
2 kambarių butas Vilniuje,51.00,2,2/4,1957,59 000 € (1 157 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,8/9,1989,53 000 € (1 019 €/m²)
5 kambarių butas Vilniuje,190.00,5,1,1940,520 000 € (2 737 €/m²)
2 kambarių butas Vilniuje,46.00,2,1/6,2003,120 000 € (2 609 €/m²)
2 kambarių butas Vilniuje,44.00,2,3,1967,97 500 € (2 216 €/m²)
3 kambarių butas Vilniuje,104.00,3,1/1,1989,49 900 € (480 €/m²)
2 kambarių butas Klaipėdoje,34.00,2,4/5,,35 000 € (1 029 €/m²)
1 kambario butas Klaipėdoje,12.00,1,4/5,,11 500 € (958 €/m²)
3 kambarių butas Klaipėdoje,76.00,3,9/9,,68 000 € (895 €/m²)
1 kambario butas Vilniuje,46.94,1,4/4,1940,107 000 € (2 280 €/m²)
4 kambarių butas Vilniuje,116.59,4,2,2020,410 000 € (3 517 €/m²)
5 kambarių butas Vilniuje,210.00,5,3,1996,525 000 € (2 500 €/m²)
1 kambario butas Vilniuje,46.94,1,4/4,1940,107 000 € (2 280 €/m²)
1 kambario butas Vilniuje,30.00,1,3,2020,81 000 € (2 700 €/m²)
4 kambarių butas Vilniuje,116.59,4,2,2020,410 000 € (3 517 €/m²)
3 kambarių butas Panevėžyje,84.18,3,2/3,2018,86 900 € (1 032 €/m²)
3 kambarių butas Klaipėdoje,58.00,3,1/2,1959,85 000 € (1 466 €/m²)
1 kambario butas Klaipėdoje,33.00,1,5/5,1970,36 500 € (1 106 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,8/9,1982,65 000 € (1 016 €/m²)
3 kambarių butas Vilniuje,82.75,3,2/9,2019,101 000 € (1 221 €/m²)
3 kambarių butas Vilniuje,66.65,3,2/4,1940,159 000 € (2 386 €/m²)
2 kambarių butas Vilniuje,49.84,2,5/5,1967,85 000 € (1 705 €/m²)
2 kambarių butas Vilniuje,48.57,2,4,2007,150 000 € (3 088 €/m²)
2 kambarių butas Vilniuje,58.00,2,1,1959,120 000 € (2 069 €/m²)
2 kambarių butas Vilniuje,50.12,2,5/5,1969,120 000 € (2 394 €/m²)
3 kambarių butas Vilniuje,62.50,3,12/12,1972,83 700 € (1 339 €/m²)
3 kambarių butas Vilniuje,71.54,3,12/12,2008,106 700 € (1 491 €/m²)
1 kambario butas Klaipėdoje,33.00,1,1/5,,35 500 € (1 076 €/m²)
2 kambarių butas Vilniuje,50.00,2,2/3,1905,98 000 € (1 960 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,1966,45 000 € (938 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,1966,45 000 € (938 €/m²)
2 kambarių butas Klaipėdoje,46.60,2,5/5,1967,48 800 € (1 047 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,5/5,1992,52 000 € (1 238 €/m²)
2 kambarių butas Vilniuje,53.51,2,3/6,2013,145 000 € (2 710 €/m²)
1 kambario butas Klaipėdoje,18.00,1,5/5,1973,18 000 € (1 000 €/m²)
2 kambarių butas Vilniuje,46.00,2,2/5,1964,75 000 € (1 630 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,5/5,1988,64 000 € (1 185 €/m²)
2 kambarių butas Vilniuje,46.00,2,2/5,1964,75 000 € (1 630 €/m²)
2 kambarių butas Klaipėdoje,53.00,2,2/5,2020,117 000 € (2 208 €/m²)
3 kambarių butas Klaipėdoje,63.00,3,2/5,2020,135 000 € (2 143 €/m²)
3 kambarių butas Klaipėdoje,61.00,3,1/5,1969,67 000 € (1 098 €/m²)
2 kambarių butas Šiauliuose,47.77,2,5/5,1964,40 500 € (848 €/m²)
3 kambarių butas Šiaulių rajono sav.,52.64,3,2/2,1968,10 900 € (207 €/m²)
1 kambario butas Klaipėdos rajono sav.,16.00,1,5,1970,14 800 € (925 €/m²)
2 kambarių butas Klaipėdos rajono sav.,48.00,2,1,,41 000 € (854 €/m²)
3 kambarių butas Klaipėdos rajono sav.,65.00,3,2,,57 000 € (877 €/m²)
2 kambarių butas Ignalinos rajono sav.,61.40,2,2/2,,15 000 € (244 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,4/5,1963,67 000 € (1 489 €/m²)
3 kambarių butas Klaipėdos rajono sav.,86.00,3,1,,56 000 € (651 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,9/9,1994,50 000 € (909 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,5/5,1964,52 000 € (1 368 €/m²)
2 kambarių butas Klaipėdoje,37.00,2,2/4,,43 000 € (1 162 €/m²)
2 kambarių butas Klaipėdoje,61.00,2,4/5,1994,53 500 € (877 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,2/5,2015,139 000 € (2 172 €/m²)
2 kambarių butas Kelmės rajono sav.,61.00,2,2/2,1989,32 000 € (525 €/m²)
2 kambarių butas Šiauliuose,50.10,2,1/5,1979,49 900 € (996 €/m²)
3 kambarių butas Šiauliuose,84.00,3,1/6,1994,86 900 € (1 035 €/m²)
4 kambarių butas Šiauliuose,104.00,4,1/2,2019,110 000 € (1 058 €/m²)
2 kambarių butas Vilniuje,68.00,2,6/9,2007,214 000 € (3 147 €/m²)
2 kambarių butas Šiaulių rajono sav.,47.47,2,2/2,1975,19 900 € (419 €/m²)
2 kambarių butas Vilniuje,62.00,2,8/27,2004,157 000 € (2 532 €/m²)
4 kambarių butas Vilniuje,154.00,4,2,1913,299 000 € (1 942 €/m²)
2 kambarių butas Vilniuje,44.00,2,3,1967,97 500 € (2 216 €/m²)
2 kambarių butas Vilniuje,86.00,2,2/2,1954,180 000 € (2 093 €/m²)
2 kambarių butas Klaipėdoje,53.00,2,1/5,2021,117 000 € (2 208 €/m²)
3 kambarių butas Klaipėdoje,100.36,3,10/18,2008,225 000 € (2 242 €/m²)
2 kambarių butas Šiauliuose,34.64,2,3/5,1973,14 800 € (427 €/m²)
4 kambarių butas Šiauliuose,81.00,4,4/9,1980,57 500 € (710 €/m²)
1 kambario butas Vilniuje,33.00,1,5/9,1974,54 990 € (1 666 €/m²)
2 kambarių butas Vilniuje,53.20,2,5/6,2021,95 000 € (1 786 €/m²)
4 kambarių butas Šiauliuose,78.34,4,2/5,1978,43 900 € (560 €/m²)
2 kambarių butas Šiauliai,39.00,2,2/2,1985,31 500 € (808 €/m²)
2 kambarių butas Vilniuje,53.20,2,5/6,2020,95 000 € (1 786 €/m²)
2 kambarių butas Šiauliuose,33.74,2,2/5,1978,18 900 € (560 €/m²)
2 kambarių butas Šiauliuose,45.20,2,2/5,1978,25 300 € (560 €/m²)
3 kambarių butas Kaune,74.39,3,8/9,2018,128 322 € (1 725 €/m²)
4 kambarių butas Šiauliuose,87.53,4,1/5,1993,69 900 € (799 €/m²)
2 kambarių butas Vilniuje,37.00,2,4/7,2009,125 000 € (3 378 €/m²)
4 kambarių butas Klaipėdos rajono sav.,73.00,4,2/2,1964,60 000 € (822 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,4/5,1983,40 000 € (870 €/m²)
4 kambarių butas Panevėžyje,80.40,4,2/5,1982,52 500 € (653 €/m²)
2 kambarių butas Kretingos rajono sav.,50.92,2,4/4,1988,46 900 € (921 €/m²)
