,Area,Room,Year,Flat_floor,Total_floor,Price_eur,Price_m2,City
183,65.0,3,2017,3,9,97000,1492,Vilnius
185,78.0,3,1978,2,12,79000,1013,Siauliai
186,70.0,3,1935,2,2,84000,1200,Siauliai
187,76.0,4,1982,11,12,81900,1078,Siauliai
188,59.24,3,1973,5,5,48000,810,Siauliai
189,67.0,2,2007,6,9,210000,3134,Vilnius
190,54.06,2,1969,2,2,3300,61,Regionas
191,38.0,2,2020,2,4,115000,3026,Vilnius
192,47.0,2,1970,4,5,53000,1128,Klaipeda
193,64.0,3,1982,8,9,65000,1016,Klaipeda
194,36.31,1,1987,5,5,34500,950,Siauliai
195,71.2,3,1988,9,10,55000,772,Druskininkai
197,66.0,2,2007,6,7,129000,1955,Vilnius
198,67.28,3,1987,8,9,89000,1323,Vilnius
199,38.8,2,1958,2,2,42500,1095,Siauliai
200,44.38,2,1964,4,5,41000,924,Siauliai
201,33.63,2,1949,3,3,33500,996,Siauliai
203,64.0,3,1978,11,12,73000,1141,Siauliai
204,76.0,3,1992,5,5,59000,776,Klaipeda
205,78.0,3,1997,5,5,71900,922,Klaipeda
206,49.0,2,1988,8,12,59500,1214,Kaunas
208,64.0,3,1976,3,9,71000,1109,Klaipeda
209,51.0,2,1957,2,4,59000,1157,Vilnius
210,52.0,2,1989,8,9,53000,1019,Klaipeda
212,46.0,2,2003,1,6,120000,2609,Vilnius
214,104.0,3,1989,1,1,49900,480,Vilnius
218,46.94,1,1940,4,4,107000,2280,Vilnius
221,46.94,1,1940,4,4,107000,2280,Vilnius
224,84.18,3,2018,2,3,86900,1032,Panevezys
225,58.0,3,1959,1,2,85000,1466,Klaipeda
226,33.0,1,1970,5,5,36500,1106,Klaipeda
227,64.0,3,1982,8,9,65000,1016,Klaipeda
228,82.75,3,2019,2,9,101000,1221,Vilnius
229,66.65,3,1940,2,4,159000,2386,Vilnius
230,49.84,2,1967,5,5,85000,1705,Vilnius
233,50.12,2,1969,5,5,120000,2394,Vilnius
234,62.5,3,1972,12,12,83700,1339,Vilnius
235,71.54,3,2008,12,12,106700,1491,Vilnius
237,50.0,2,1905,2,3,98000,1960,Vilnius
238,48.0,2,1966,5,5,45000,938,Klaipeda
239,48.0,2,1966,5,5,45000,938,Klaipeda
240,46.6,2,1967,5,5,48800,1047,Klaipeda
241,42.0,2,1992,5,5,52000,1238,Klaipeda
242,53.51,2,2013,3,6,145000,2710,Vilnius
243,18.0,1,1973,5,5,18000,1000,Klaipeda
244,46.0,2,1964,2,5,75000,1630,Vilnius
245,54.0,2,1988,5,5,64000,1185,Klaipeda
246,46.0,2,1964,2,5,75000,1630,Vilnius
247,53.0,2,2020,2,5,117000,2208,Klaipeda
248,63.0,3,2020,2,5,135000,2143,Klaipeda
249,61.0,3,1969,1,5,67000,1098,Klaipeda
250,47.77,2,1964,5,5,40500,848,Siauliai
251,52.64,3,1968,2,2,10900,207,Regionas
256,45.0,2,1963,4,5,67000,1489,Klaipeda
258,55.0,2,1994,9,9,50000,909,Klaipeda
259,38.0,2,1964,5,5,52000,1368,Klaipeda
261,61.0,2,1994,4,5,53500,877,Klaipeda
262,64.0,3,2015,2,5,139000,2172,Klaipeda
263,61.0,2,1989,2,2,32000,525,Regionas
264,50.1,2,1979,1,5,49900,996,Siauliai
265,84.0,3,1994,1,6,86900,1035,Siauliai
266,104.0,4,2019,1,2,110000,1058,Siauliai
267,68.0,2,2007,6,9,214000,3147,Vilnius
268,47.47,2,1975,2,2,19900,419,Regionas
269,62.0,2,2004,8,27,157000,2532,Vilnius
272,86.0,2,1954,2,2,180000,2093,Vilnius
273,53.0,2,2021,1,5,117000,2208,Klaipeda
274,100.36,3,2008,10,18,225000,2242,Klaipeda
275,34.64,2,1973,3,5,14800,427,Siauliai
276,81.0,4,1980,4,9,57500,710,Siauliai
277,33.0,1,1974,5,9,54990,1666,Vilnius
278,53.2,2,2021,5,6,95000,1786,Vilnius
279,78.34,4,1978,2,5,43900,560,Siauliai
280,39.0,2,1985,2,2,31500,808,Siauliai
281,53.2,2,2020,5,6,95000,1786,Vilnius
282,33.74,2,1978,2,5,18900,560,Siauliai
283,45.2,2,1978,2,5,25300,560,Siauliai
284,74.39,3,2018,8,9,128322,1725,Kaunas
285,87.53,4,1993,1,5,69900,799,Siauliai
286,37.0,2,2009,4,7,125000,3378,Vilnius
287,73.0,4,1964,2,2,60000,822,Regionas
288,46.0,2,1983,4,5,40000,870,Klaipeda
289,80.4,4,1982,2,5,52500,653,Panevezys
290,50.92,2,1988,4,4,46900,921,Regionas
291,61.0,2,1991,4,5,53500,877,Klaipeda
292,55.0,2,1986,8,9,53900,980,Klaipeda
293,60.0,3,1970,1,5,48000,800,Klaipeda
294,55.0,3,1970,1,5,72000,1309,Klaipeda
296,143.0,5,2019,5,6,429000,3000,Vilnius
297,20.94,1,1978,2,5,13000,621,Siauliai
303,61.0,2,1991,4,5,53500,877,Klaipeda
307,75.0,3,2019,4,6,225000,3000,Vilnius
308,120.0,4,2019,2,6,318000,2650,Vilnius
311,42.0,2,1992,5,5,52000,1238,Klaipeda
312,61.0,2,1994,4,5,53500,877,Klaipeda
313,60.0,2,2007,15,23,126000,2100,Vilnius
314,89.0,4,1989,3,5,87000,978,Klaipeda
315,44.16,2,1964,4,5,38000,861,Panevezys
316,86.57,3,2000,1,5,150000,1733,Klaipeda
318,66.67,3,1940,1,2,159000,2385,Vilnius
319,108.04,4,2020,5,9,259900,2406,Vilnius
320,47.38,2,2015,5,5,135000,2849,Vilnius
321,107.94,4,2020,4,9,249900,2315,Vilnius
322,107.45,4,2020,6,9,269900,2512,Vilnius
323,47.38,2,2015,5,5,135000,2849,Vilnius
324,42.0,2,1968,2,3,56500,1345,Vilnius
329,72.65,3,1940,3,4,249700,3437,Vilnius
331,30.0,1,1972,8,9,58900,1963,Vilnius
332,44.27,2,1965,2,5,31900,721,Panevezys
333,45.0,2,1963,4,5,67000,1489,Klaipeda
334,43.0,2,2013,1,3,95000,2209,Vilnius
335,50.5,2,1987,11,13,87900,1741,Vilnius
336,43.0,2,2013,1,3,95000,2209,Vilnius
337,33.0,1,1964,2,5,28900,876,Klaipeda
338,64.49,3,1989,8,9,48000,744,Regionas
339,60.0,2,2007,15,23,126000,2100,Vilnius
340,49.81,2,1985,5,5,27800,558,Regionas
344,82.0,3,2010,15,34,135000,1646,Klaipeda
345,76.41,3,2009,3,5,124700,1632,Vilnius
346,53.68,2,1991,3,5,46000,857,Druskininkai
347,61.18,4,1968,5,5,38900,636,Panevezys
348,74.54,3,1985,6,12,83000,1113,Siauliai
349,61.67,3,1969,3,5,61500,997,Siauliai
350,58.0,3,1971,1,5,44900,774,Panevezys
351,22.83,1,1974,4,4,21000,920,Vilnius
352,85.47,4,1940,4,4,269000,3147,Vilnius
353,50.21,2,1994,3,9,71500,1424,Vilnius
356,65.6,3,1991,9,9,79800,1216,Kaunas
357,44.48,2,1970,2,5,48000,1079,Siauliai
366,18.0,1,1970,5,5,29500,1639,Vilnius
368,50.0,2,1980,8,9,48500,970,Siauliai
369,65.35,3,1986,4,5,60900,932,Siauliai
371,55.0,2,2010,2,8,150000,2727,Palanga
372,129.41,5,2009,3,3,239000,1847,Vilnius
373,50.77,2,1985,4,5,76900,1515,Vilnius
374,67.0,3,1992,9,10,88000,1313,Vilnius
375,75.0,4,2021,1,1,75000,1000,Regionas
376,51.0,2,1978,8,8,103000,2020,Palanga
378,31.0,1,2017,6,8,92113,2971,Regionas
379,65.93,3,1990,8,12,137000,2078,Vilnius
380,77.0,4,1990,4,4,92000,1195,Palanga
381,35.0,2,1978,10,12,75000,2143,Palanga
382,38.65,3,1955,2,2,23500,608,Regionas
383,59.0,2,2016,2,5,225000,3814,Vilnius
384,54.0,2,1993,5,5,45000,833,Klaipeda
385,36.0,1,1996,1,5,65000,1806,Vilnius
386,86.0,3,2009,3,4,169000,1965,Vilnius
387,43.0,2,1920,1,2,79999,1860,Klaipeda
388,64.25,3,1977,1,9,62600,974,Klaipeda
389,35.0,1,1980,2,5,69000,1971,Vilnius
390,72.0,3,1970,2,5,63000,875,Klaipeda
391,65.42,3,1987,4,5,84000,1284,Klaipeda
392,91.0,4,1998,4,5,85000,934,Klaipeda
